Event,Tm,J1,J2,St,S,n,Q
start,0,inf,inf,inf,0,0,
J1,1.4970681090877984,2.536764857108709,inf,inf,0,0,
E,3.4119816791046116,2.536764857108709,inf,3.4119816791046116,1,0,
J1,3.450061264262014,3.95566404333169,inf,inf,0,0,
J2,4.737247573699747,3.95566404333169,10.544608641227398,6.048459642775388,1,0,
E,6.048459642775388,3.95566404333169,10.544608641227398,6.048459642775388,1,1,J2
J2,6.20418138728648,3.95566404333169,6.798783145233245,8.196585816807733,1,0,
J2,6.646229137279968,3.95566404333169,8.675919307153212,8.196585816807733,1,1,J2
J2,7.783284397631289,3.95566404333169,19.86130532549305,8.196585816807733,1,2,"J2, J2"
J1,7.912064925857715,8.512622474814302,19.86130532549305,8.196585816807733,1,3,"J2, J2, J2"
E,8.196585816807733,8.512622474814302,19.86130532549305,8.196585816807733,1,4,"J2, J2, J2, J1"
J2,9.613371127323466,8.512622474814302,12.439928720992016,10.740702271412204,1,3,"J2, J2, J1"
J1,10.39663902197895,15.567729724529194,12.439928720992016,10.740702271412204,1,4,"J2, J2, J1, J2"
J1,10.723498135569649,14.997762388087432,12.439928720992016,10.740702271412204,1,5,"J2, J2, J1, J2, J1"
E,10.740702271412204,14.997762388087432,12.439928720992016,10.740702271412204,1,6,"J2, J2, J1, J2, J1, J1"
J2,13.230874580462414,14.997762388087432,13.353063066426865,13.820773178045297,1,5,"J2, J1, J2, J1, J1"
J1,13.485090962205067,14.38356252847058,13.353063066426865,13.820773178045297,1,6,"J2, J1, J2, J1, J1, J2"
E,13.820773178045297,14.38356252847058,13.353063066426865,13.820773178045297,1,7,"J2, J1, J2, J1, J1, J2, J1"
J1,15.21661791397286,17.064056555255465,13.353063066426865,15.778613536052717,1,6,"J1, J2, J1, J1, J2, J1"
J1,15.593062386078145,18.151052494173182,13.353063066426865,15.778613536052717,1,7,"J1, J2, J1, J1, J2, J1, J1"
E,15.778613536052717,18.151052494173182,13.353063066426865,15.778613536052717,1,8,"J1, J2, J1, J1, J2, J1, J1, J1"
J1,16.6792011721549,18.060221314146492,13.353063066426865,17.700241907271117,1,7,"J2, J1, J1, J2, J1, J1, J1"
J1,17.532937370923676,17.541576430627455,13.353063066426865,17.700241907271117,1,8,"J2, J1, J1, J2, J1, J1, J1, J1"
E,17.700241907271117,17.541576430627455,13.353063066426865,17.700241907271117,1,9,"J2, J1, J1, J2, J1, J1, J1, J1, J1"
J1,18.670255906241973,19.18392154513072,13.353063066426865,19.38353179374179,1,8,"J1, J1, J2, J1, J1, J1, J1, J1"
E,19.38353179374179,19.18392154513072,13.353063066426865,19.38353179374179,1,9,"J1, J1, J2, J1, J1, J1, J1, J1, J1"
E,21.000248683296938,19.18392154513072,13.353063066426865,21.000248683296938,1,8,"J1, J2, J1, J1, J1, J1, J1, J1"
J1,21.262264922595943,21.56277938384932,13.353063066426865,23.609565231582966,1,7,"J2, J1, J1, J1, J1, J1, J1"
J1,21.78545622926308,25.930321061569163,13.353063066426865,23.609565231582966,1,8,"J2, J1, J1, J1, J1, J1, J1, J1"
J1,22.09420692268636,22.374758102396015,13.353063066426865,23.609565231582966,1,9,"J2, J1, J1, J1, J1, J1, J1, J1, J1"
J1,23.19772773374315,28.05154119827175,13.353063066426865,23.609565231582966,1,10,"J2, J1, J1, J1, J1, J1, J1, J1, J1, J1"
E,23.609565231582966,28.05154119827175,13.353063066426865,23.609565231582966,1,11,"J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J1"
E,24.954062081560984,28.05154119827175,13.353063066426865,24.954062081560984,1,10,"J1, J1, J1, J1, J1, J1, J1, J1, J1, J1"
J1,25.615470274885606,26.400493510245727,13.353063066426865,26.693065250038664,1,9,"J1, J1, J1, J1, J1, J1, J1, J1, J1"
J1,26.12300650963026,26.57298457606824,13.353063066426865,26.693065250038664,1,10,"J1, J1, J1, J1, J1, J1, J1, J1, J1, J1"
E,26.693065250038664,26.57298457606824,13.353063066426865,26.693065250038664,1,11,"J1, J1, J1, J1, J1, J1, J1, J1, J1, J1, J1"
J1,27.802845849144592,29.34029587744285,13.353063066426865,28.772362605115823,1,10,"J1, J1, J1, J1, J1, J1, J1, J1, J1, J1"
J1,28.465062224173785,28.82717596255587,13.353063066426865,28.772362605115823,1,11,"J1, J1, J1, J1, J1, J1, J1, J1, J1, J1, J1"
E,28.772362605115823,28.82717596255587,13.353063066426865,28.772362605115823,1,12,"J1, J1, J1, J1, J1, J1, J1, J1, J1, J1, J1, J1"
J2,28.943147903229992,28.82717596255587,31.760801405254306,30.794617153219924,1,11,"J1, J1, J1, J1, J1, J1, J1, J1, J1, J1, J1"
J1,29.67556532070923,29.97263418120984,31.760801405254306,30.794617153219924,1,12,"J1, J1, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2"
